1033;3.60;7;50
1145;7.60;18;20
1054;18.70;12;30
1055;18.70;12;30
1056;18.70;12;30
1218;17.00;7;100
1219;79.00;12;100
1220;23.90;18;50
1451;3.00;7;50
1110;7.00;18;30
1111;7.50;18;30
1112;9.20;18;30
1196;1.95;7;50
1197;15.10;18;20
1533;25.20;18;10
1534;13.90;7;30
1535;25.95;12;30
1536;7.60;12;30
1458;13.22;12;30
1459;26.50;12;20
1460;12.50;7;50
1461;22.50;7;50
1009;12.45;12;100
1010;3.70;18;100
1011;6.35;18;100
1012;4.00;18;100
1013;17.65;18;50
1148;21.75;18;100
1148;22.75;18;100
1148;20.12;18;100
